metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1788912281.1933,elite,2419.4532712145,1785808888.7698,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,GCS-AS,Paris,Europe,EU,France,FR,,False,Global Connectivity Solutions LLP,48.8558,2.3494,False,Global Connectivity Solutions LLP,True,Île-de-France,success,Europe/Paris,75001,1788832244,1788912422.197,1082,socks4,109.172.55.227:1082,True,55.394887924194,120405,67423,64.103860979194,109.172.55.227
True,1788912330.311,elite,1649.3538274752,1788592217.0261,"AS210976 Timeweb, LLP",TWC-EU,Amsterdam,Europe,EU,The Netherlands,NL,,True,"Timeweb, LLP",52.3716,4.8883,False,"Timeweb, LLP",False,North Holland,success,Europe/Amsterdam,1012,1788589068,1788912422.1206,1080,socks5,5.129.213.185:1080,True,89.600563049316,5725,3536,61.818378144909,5.129.213.185
True,1788912306.3121,elite,2799.383349316,1777717508.8389,AS35807 SkyNet Ltd.,AS-SKYNET-SPB,St Petersburg,Europe,EU,Russia,RU,,False,SkyNet LLC,59.8983,30.2618,False,SkyNet Networks,True,St.-Petersburg,success,Europe/Moscow,190000,1788333900,1788912421.6924,21,socks5,188.242.163.28:21,True,517.86947250366,59923,70629,45.899718119983,188.242.163.28
True,1788912421.1764,elite,4279.534045384,1786862704.9443,AS4837 CHINA UNICOM China169 Backbone,CHINA169-Backbone,Chongqing,Asia,AS,China,CN,,False,CNC Group CHINA169 Chongqing Province Network,29.5657,106.551,False,,True,Chongqing,success,Asia/Shanghai,,1788675226,1788912421.1764,39105,socks5,58.144.196.192:39105,True,1286.847114563,11197,31420,26.273552807565,58.144.196.192
True,1788911911.4675,elite,1660.8120521161,1786252124.6469,AS210644 AEZA GROUP LLC,AEZA-AS,Frankfurt am Main,Europe,EU,Germany,DE,,True,Aeza International LTD,50.1169,8.6837,False,Aeza International LTD,True,Hesse,success,Europe/Berlin,60313,1788668231,1788912421.13,1080,socks5,45.144.54.40:1080,True,397.05157279968,105196,5776,94.795083444472,45.144.54.40
True,1788910135.1474,elite,2857.2583056996,1787615381.5948,AS51765 Oy Creanova Hosting Solutions Ltd.,CREANOVA-AS,Los Angeles,North America,,United States,US,,True,Oy Crea Nova Hosting Solution Ltd,34.0544,-118.244,False,Beafort Limited,True,California,success,America/Los_Angeles,90009,1788823967,1788912421.0202,1080,socks4,85.209.156.148:1080,True,823.13966751099,112025,3495,96.974549861496,85.209.156.148
True,1788912024.1364,elite,8403.2831755605,1786786241.5087,AS132165 Connect Communications,CONNECT-AS-AP,Tando Adam,Asia,AS,Pakistan,PK,,False,Connect Communication,25.8943,68.5247,False,WANGSU,True,Sindh,success,Asia/Karachi,68050,1788597648,1788912420.949,10917,socks4,111.119.162.248:10917,True,1122.3108768463,50648,44690,53.124672218842,111.119.162.248
True,1788912234.7275,elite,8918.1191788052,1784945075.7372,AS12876 Scaleway SAS,AS12876,Paris,Europe,EU,France,FR,,True,SCALEWAY,48.8558,2.3494,False,ONLINE,True,Île-de-France,success,Europe/Paris,75001,1788812737,1788912420.9369,8080,socks5,51.15.253.45:8080,True,410.59708595276,75654,33799,69.120078937992,51.15.253.45
True,1788912337.4253,elite,3401.9965268735,1783368818.9044,AS7552 Viettel Group,VIETEL-AS-AP,Hanoi,Asia,AS,Vietnam,VN,,False,VIETTEL,21.0184,105.8461,False,,True,Hanoi,success,Asia/Bangkok,100000,1788811404,1788912420.8545,1080,socks4,117.4.26.246:1080,True,1026.5734195709,134225,134244,49.996461416402,117.4.26.246
True,1788912420.7866,elite,4171.2355232913,1788839596.9308,AS49924 NETFREE S.R.L.S.,Netfree,Termoli,Europe,EU,Italy,IT,,False,ECROM-MAIN,41.999,15.0016,False,,False,Molise,success,Europe/Rome,86039,1788837808,1788912420.7866,7080,socks5,109.73.177.230:7080,True,1577.0173072815,1415,965,59.453781512605,109.73.177.230
True,1788912346.2628,elite,3430.6449282538,1776081471.9589,AS60404 Liteserver,Liteserver,Dronten,Europe,EU,The Netherlands,NL,,True,The Infrastructure Group B.V.,52.5378,5.6966,False,TIG,True,Flevoland,success,Europe/Amsterdam,8253,1788498393,1788912420.6745,1080,socks5,5.255.117.250:1080,True,90.776920318604,167606,36181,82.245678085452,5.255.117.250
True,1788912389.8777,elite,3555.4701785597,1696969618.3766,AS131293 TOT Public Company Limited,TOT-LLI-AS-AP,Li,Asia,AS,Thailand,TH,,False,TOT Public Company Limited,17.7822,98.9797,False,TOT Public Company Limited,True,Lamphun,success,Asia/Bangkok,51110,1788332082,1788912420.565,31948,socks4,1.179.151.165:31948,True,962.12482452393,291923,1074368,21.366092582034,1.179.151.165
True,1788899784.6938,elite,923.37954801806,1783254727.7162,AS31898 Oracle Corporation,ORACLE-BMC-31898,Mumbai,Asia,AS,India,IN,,True,Oracle Corporation,19.0748,72.8856,False,Oracle Cloud Infrastructure (ap-mumbai-1),True,Maharashtra,success,Asia/Kolkata,400701,1788697651,1788912420.5199,1088,socks5,144.24.111.128:1088,True,913.03443908691,223955,3210,98.586930204917,144.24.111.128
True,1788912420.4738,elite,1246.9037160945,1788384520.0657,AS24086 Viettel Corporation,VIETTEL-AS-VN,Hanoi,Asia,AS,Vietnam,VN,,False,Viettel Group,21.0278,105.834,False,VIETTEL,False,Hanoi,success,Asia/Bangkok,,1788383053,1788912420.4738,1080,socks4,116.100.218.65:1080,True,1204.7128677368,4022,15811,20.279332425755,116.100.218.65
True,1788912297.0043,elite,1133.0718521509,1776079270.5777,AS46562 Performive LLC,PERFORMIVE,Atlanta,North America,,United States,US,,True,Performive LLC,33.7488,-84.3877,False,Performive LLC,True,Georgia,success,America/New_York,30302,1788780166,1788912420.4251,14921,socks5,192.252.211.197:14921,True,880.35035133362,90828,76554,54.263899344015,192.252.211.197
True,1788912349.7885,elite,3695.7874817477,1788871345.4044,"AS210976 Timeweb, LLP",TWC-EU,Amsterdam,Europe,EU,The Netherlands,NL,,False,"Timeweb, LLP",52.3676,4.90414,False,"Timeweb, LLP",False,North Holland,success,Europe/Amsterdam,1012,1788871625,1788912420.4094,1080,socks4,89.19.216.187:1080,True,52.959203720093,2210,743,74.839146630545,89.19.216.187
True,1788890694.4709,elite,1222.1449306307,1783526730.3243,AS17252 Colocation America Corporation,AS2-COLOAM,Los Angeles,North America,,United States,US,,True,Vault Host,34.0549,-118.243,False,Equinox Servers,True,California,success,America/Los_Angeles,90009,1788362357,1788912420.3849,8081,http,23.228.86.236:8081,False,387.92252540588,91903,61,99.933669696838,23.228.86.236
True,1788912420.3459,elite,1975.7901819416,1710564534.0638,AS200780 Eurofiber France SAS,APPLIWAVE,Paris,Europe,EU,France,FR,,False,Eurofiber France SAS,48.8763,2.29212,False,Avelia,True,Île-de-France,success,Europe/Paris,75017,1788480658,1788912420.3459,5678,socks4,95.178.108.189:5678,True,189.21422958374,216198,985125,17.996658683801,95.178.108.189
True,1788912420.3444,elite,3964.7489406674,1788497745.9077,AS23956 AmberIT Limited,AMBERIT-BD-AS,Madaripur,Asia,AS,Bangladesh,BD,,False,Tiger Telecommunication Company,23.166,90.2079,False,Dhakacom Limited,False,Dhaka Division,success,Asia/Dhaka,7900,1788496381,1788912420.3444,9090,socks5,118.179.144.142:9090,True,1819.3726539612,7554,5514,57.805325987144,118.179.144.142
True,1788720014.6561,elite,2289.3836132136,1776081958.7435,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Macon,North America,,United States,US,,False,Cox Communications Inc.,32.8407,-83.6324,False,Cox Communications Inc.,True,Georgia,success,America/New_York,31202,1788780256,1788912420.2446,4145,socks5,184.182.240.211:4145,True,2102.5807857513,299076,526,99.824433748773,184.182.240.211
True,1788912420.2178,elite,3921.9218565935,1783329591.4473,AS42532 SIA VEESP,VEESP-LV-AS,Riga,Europe,EU,Latvia,LV,,True,SIA VEESP,56.9728,24.1657,False,SIA VEESP,True,Rīga,success,Europe/Riga,LV-1011,1788770679,1788912420.2178,1080,socks5,195.135.255.98:1080,True,1200.0908851624,124157,49985,71.296413271928,195.135.255.98
